name,is_business,license_number,type,company,city,state,zip,county,licensed_since,expires,disciplined
Hageman Bros Realty Group Inc,True,478010993,LICENSED REAL ESTATE BROKER CORPORATION,Hageman Bros Realty Group Inc,Wheeling,IL,60090,Cook,03/12/2004,10/31/2026,N
Rlb Realty Group Inc,True,478006704,LICENSED REAL ESTATE BROKER CORPORATION,Rlb Realty Group Inc,Chicago,IL,60608,Cook,03/24/1990,10/31/2026,N
Cushman & Wakefield Us Inc,True,478006844,LICENSED REAL ESTATE BROKER CORPORATION,Colliers Turley Martin,Chicago,IL,60606,Cook,07/14/1990,10/31/2026,N
Master Realty Inc,True,478006855,LICENSED REAL ESTATE BROKER CORPORATION,Master Realty Inc,Riverwoods,IL,60015,Lake,07/20/1990,10/31/2026,N
Crs Management Inc,True,478006943,LICENSED REAL ESTATE BROKER CORPORATION,Crs Management Inc,Western Springs,IL,60558,Cook,10/12/1990,10/31/2026,N
New Age Realty Inc,True,478007021,LICENSED REAL ESTATE BROKER CORPORATION,Century 21 Universal Real Estate,Chicago,IL,60645,Cook,01/15/1991,10/31/2026,N
The Heritage Realty Group Inc,True,478007062,LICENSED REAL ESTATE BROKER CORPORATION,The Heritage Realty Group Inc,Barrington,IL,60010,Lake,02/26/1991,10/31/2026,N
Draper And Kramer Inc,True,478000651,LICENSED REAL ESTATE BROKER CORPORATION,Draper And Kramer Inc,Chicago,IL,60603,Cook,03/31/1996,10/31/2026,N
Roppolo Realty Inc,True,478001050,LICENSED REAL ESTATE BROKER CORPORATION,Roppolo Realty Inc,Norridge,IL,60706,Cook,03/31/1996,10/31/2026,N
Bennett & Covey Inc,True,478001590,LICENSED REAL ESTATE BROKER CORPORATION,Daniel & Associates Real Estate Inc,West Chicago,IL,60185,Dupage,05/23/1973,10/31/2026,N
Coachlight Realty Inc,True,478001716,LICENSED REAL ESTATE BROKER CORPORATION,Coachlight Realty Inc,Niles,IL,60714,Cook,04/11/1974,10/31/2026,N
Spring Realty Inc,True,478002332,LICENSED REAL ESTATE BROKER CORPORATION,Spring Realty Inc,Shorewood,IL,60404,Will,11/29/1976,10/31/2026,N
Nordic Properties Ltd,True,478007119,LICENSED REAL ESTATE BROKER CORPORATION,United States Development Corp,Grayslake,IL,60030,Lake,04/12/1991,10/31/2026,N
J Vassiliades & Co,True,478007153,LICENSED REAL ESTATE BROKER CORPORATION,J Vassiliades & Co,River Forest,IL,60305,Cook,05/15/1991,10/31/2026,N
Jasper Rlty Corp,True,478002778,LICENSED REAL ESTATE BROKER CORPORATION,Jasper Rlty Corp,Park Ridge,IL,60068,Cook,08/31/1978,10/31/2026,N
Mark Goodman And Assocs Inc,True,478002779,LICENSED REAL ESTATE BROKER CORPORATION,Mark Goodman And Assocs Inc,Chicago,IL,60611,,08/31/1978,10/31/2026,N
Long Rlty Inc,True,478002800,LICENSED REAL ESTATE BROKER CORPORATION,Long Rlty Inc,Westmont,IL,60559,Dupage,09/19/1978,10/31/2026,N
Homeland Realty Inc,True,478007215,LICENSED REAL ESTATE BROKER CORPORATION,Homeland Realty Inc,Skokie,IL,60077,Cook,07/24/1991,10/31/2026,N
Ash Realty Brokerage Llc,True,478007236,LICENSED REAL ESTATE BROKER CORPORATION,Ash Realty Brokerage Llc,Northbrook,IL,60062,,08/27/1991,10/31/2026,N
American Heritage Referral Corporation,True,478007484,LICENSED REAL ESTATE BROKER CORPORATION,American Heritage Referral Corporation,Elk Grove Village,IL,60007,Cook,08/10/1992,10/31/2026,N
North Clybourn Group Inc,True,478007573,LICENSED REAL ESTATE BROKER CORPORATION,Ncg Chicago,Chicago,IL,60647,Cook,12/15/1992,10/31/2026,N
Wesley Realty Group Inc,True,478007711,LICENSED REAL ESTATE BROKER CORPORATION,Wesley Realty Group Inc,Evanston,IL,60202,Cook,05/10/1993,10/31/2026,N
Long-Kogen Inc,True,478007735,LICENSED REAL ESTATE BROKER CORPORATION,Long-Kogen Inc,Chicago,IL,60645,Cook,05/19/1993,10/31/2026,N
Dixon Realtors Inc,True,478007816,LICENSED REAL ESTATE BROKER CORPORATION,Dixon Realtors Inc,Elmhurst,IL,60126,Dupage,09/02/1993,10/31/2026,N
Lopata And Company,True,478007929,LICENSED REAL ESTATE BROKER CORPORATION,Lopata And Company,Downers Grove,IL,60515,Dupage,02/02/1994,10/31/2026,N
J D Partners Inc,True,478008043,LICENSED REAL ESTATE BROKER CORPORATION,J D Partners Inc,Des Plaines,IL,60018,Cook,07/09/1994,10/31/2026,N
Ettinger Realty Ltd,True,478003708,LICENSED REAL ESTATE BROKER CORPORATION,Ettinger Realty Ltd,Lincolnwood,IL,60712,Cook,07/29/1981,10/31/2026,N
Building People Inc,True,478008129,LICENSED REAL ESTATE BROKER CORPORATION,Building People Inc,Chicago,IL,60614,Cook,11/02/1994,10/31/2026,N
Golden Rule Rlty Inc,True,478003715,LICENSED REAL ESTATE BROKER CORPORATION,Golden Rule Rlty Inc,Chicago,IL,60645,Cook,08/18/1981,10/31/2026,N
Urban Equities Re Consultants Inc,True,478003771,LICENSED REAL ESTATE BROKER CORPORATION,Urban Equities Re Consultants Inc,Chicago,IL,60660,Cook,12/01/1981,10/31/2026,N
Sir Sid Realty Ltd,True,478008302,LICENSED REAL ESTATE BROKER CORPORATION,Sir Sid Realty Ltd,Chicago,IL,60651,Cook,05/16/1995,10/31/2026,N
Gold & Azen Realty Inc,True,478008406,LICENSED REAL ESTATE BROKER CORPORATION,Gold & Azen Realty Inc,Buffalo Grove,IL,60089,Cook,10/24/1995,10/31/2026,N
The Building Group Inc,True,478008417,LICENSED REAL ESTATE BROKER CORPORATION,The Building Group Inc,Chicago,IL,60610,Cook,11/14/1995,10/31/2026,N
Berkson & Sons Ltd,True,478008426,LICENSED REAL ESTATE BROKER CORPORATION,Berkson & Sons Ltd,Northbrook,IL,60062,Cook,12/02/1995,10/31/2026,N
Us Realtors Ltd,True,478008439,LICENSED REAL ESTATE BROKER CORPORATION,Us Realtors Ltd,Des Plaines,IL,60016,Cook,12/19/1995,10/31/2026,N
Tbs Development Services Group Inc,True,478008460,LICENSED REAL ESTATE BROKER CORPORATION,Tbs Development Services Group Inc,River Forest,IL,60305,Cook,01/22/1996,10/31/2026,N
Century 21 Purdum-Epperson Inc,True,478008529,LICENSED REAL ESTATE BROKER CORPORATION,Century 21 Purdum-Epperson Inc,Macomb,IL,61455,Mcdonough,05/03/1996,10/31/2026,N
Nhs Property Management Inc,True,478008548,LICENSED REAL ESTATE BROKER CORPORATION,Nhs Property Management Inc,Peoria,IL,61614,Peoria,05/10/1996,10/31/2026,N
Jim Cleveland Real Estate Inc,True,478008553,LICENSED REAL ESTATE BROKER CORPORATION,Re/Max Executive Plus,Decatur,IL,62521,Macon,05/10/1996,10/31/2026,N
Sara Storckman Realty Inc,True,478008578,LICENSED REAL ESTATE BROKER CORPORATION,Sara Storckman Realty Inc,Mount Carmel,IL,62863,Wabash,06/06/1996,10/31/2026,N
Horwitz & Co Incorporated,True,478008698,LICENSED REAL ESTATE BROKER CORPORATION,Horwitz & Co Incorporated,Chicago,IL,60661,Cook,10/18/1996,10/31/2026,Y
The Elite Real Estate Co Inc,True,478008728,LICENSED REAL ESTATE BROKER CORPORATION,The Elite Real Estate Co Inc,Hillside,IL,60162,Cook,12/11/1996,10/31/2026,N
Sab-Net Realty Corporation,True,478008776,LICENSED REAL ESTATE BROKER CORPORATION,Sab-Net Realty Corporation,Norridge,IL,60706,,02/19/1997,10/31/2026,N
Speckman Realty Inc,True,478008787,LICENSED REAL ESTATE BROKER CORPORATION,Berkshire Hathaway Home Services Speckman Realty,Bourbonnais,IL,60914,Kankakee,02/26/1997,10/31/2026,N
Arrow Real Estate Inc,True,478008868,LICENSED REAL ESTATE BROKER CORPORATION,Arrow Real Estate Inc,Kewanee,IL,61443,Henry,06/16/1997,10/31/2026,N
Legacy Real Estate Inc,True,478008953,LICENSED REAL ESTATE BROKER CORPORATION,Legacy Real Estate Inc,Yorkville,IL,60560,Kendall,09/22/1997,10/31/2026,N
Mark Twain Real Estate Service,True,478008979,LICENSED REAL ESTATE BROKER CORPORATION,Mark Twain Real Estate Service,Mounds,IL,62964,Pulaski,10/30/1997,10/31/2026,N
Mansion View Real Estate Inc,True,478009021,LICENSED REAL ESTATE BROKER CORPORATION,Mansion View Real Estate Inc,Chicago,IL,60634,Cook,01/16/1998,10/31/2026,N
Worldwide Realty Group Inc,True,478009046,LICENSED REAL ESTATE BROKER CORPORATION,Worldwide Realty Group Inc,Burbank,IL,60459,Cook,02/05/1998,10/31/2026,N
Landmark And Property Group Inc,True,478009133,LICENSED REAL ESTATE BROKER CORPORATION,Landmark And Property Group Inc,Chicago,IL,60608,Cook,05/22/1998,10/31/2026,N
Ltv Real Estate Services Ltd,True,478009194,LICENSED REAL ESTATE BROKER CORPORATION,Ltv Real Estate Services Ltd,Chicago,IL,60631,Cook,08/07/1998,10/31/2026,N
